,itemID,10_m,20_m,50_m,100_m,10_m_smooth,20_m_smooth,50_m_smooth,100_m_smooth,10,20,50,100,10_base,20_base,50_base,100_base,10_1_True_lift,10_1_True_conf,10_1_False_lift,10_1_False_conf,10_3_True_lift,10_3_True_conf,10_3_False_lift,10_3_False_conf,10_5_True_lift,10_5_True_conf,10_5_False_lift,10_5_False_conf,10_100_True_lift,10_100_True_conf,10_100_False_lift,10_100_False_conf,20_1_True_lift,20_1_True_conf,20_1_False_lift,20_1_False_conf,20_3_True_lift,20_3_True_conf,20_3_False_lift,20_3_False_conf,20_5_True_lift,20_5_True_conf,20_5_False_lift,20_5_False_conf,20_100_True_lift,20_100_True_conf,20_100_False_lift,20_100_False_conf,50_1_True_lift,50_1_True_conf,50_1_False_lift,50_1_False_conf,50_3_True_lift,50_3_True_conf,50_3_False_lift,50_3_False_conf,50_5_True_lift,50_5_True_conf,50_5_False_lift,50_5_False_conf,50_100_True_lift,50_100_True_conf,50_100_False_lift,50_100_False_conf,100_1_True_lift,100_1_True_conf,100_1_False_lift,100_1_False_conf,100_3_True_lift,100_3_True_conf,100_3_False_lift,100_3_False_conf,100_5_True_lift,100_5_True_conf,100_5_False_lift,100_5_False_conf,100_100_True_lift,100_100_True_conf,100_100_False_lift,100_100_False_conf,10_1_True_lift_base,10_1_True_conf_base,10_1_False_lift_base,10_1_False_conf_base,10_3_True_lift_base,10_3_True_conf_base,10_3_False_lift_base,10_3_False_conf_base,10_5_True_lift_base,10_5_True_conf_base,10_5_False_lift_base,10_5_False_conf_base,10_100_True_lift_base,10_100_True_conf_base,10_100_False_lift_base,10_100_False_conf_base,20_1_True_lift_base,20_1_True_conf_base,20_1_False_lift_base,20_1_False_conf_base,20_3_True_lift_base,20_3_True_conf_base,20_3_False_lift_base,20_3_False_conf_base,20_5_True_lift_base,20_5_True_conf_base,20_5_False_lift_base,20_5_False_conf_base,20_100_True_lift_base,20_100_True_conf_base,20_100_False_lift_base,20_100_False_conf_base,50_1_True_lift_base,50_1_True_conf_base,50_1_False_lift_base,50_1_False_conf_base,50_3_True_lift_base,50_3_True_conf_base,50_3_False_lift_base,50_3_False_conf_base,50_5_True_lift_base,50_5_True_conf_base,50_5_False_lift_base,50_5_False_conf_base,50_100_True_lift_base,50_100_True_conf_base,50_100_False_lift_base,50_100_False_conf_base,100_1_True_lift_base,100_1_True_conf_base,100_1_False_lift_base,100_1_False_conf_base,100_3_True_lift_base,100_3_True_conf_base,100_3_False_lift_base,100_3_False_conf_base,100_5_True_lift_base,100_5_True_conf_base,100_5_False_lift_base,100_5_False_conf_base,100_100_True_lift_base,100_100_True_conf_base,100_100_False_lift_base,100_100_False_conf_base
MCC_test,0.35045858945316377,0.3495330082553157,0.3496418719041592,0.35116163366364633,0.34702724252000444,0.34855654067064556,0.3479287569425082,0.34852200620948215,0.34922279949006246,0.33455943058792825,0.33125257876611475,0.3358129173366785,0.331036082788811,0.34937929023149594,0.34940106600573306,0.35094139619708914,0.34720394681556244,0.33800700942103573,0.34183904638017326,0.33800700942103573,0.34183904638017326,0.3442545499963799,0.3466439745108227,0.3440793900163594,0.3444993097021064,0.3458038425306753,0.3480430695434604,0.3453539517704051,0.3455926060528054,0.3451508754579363,0.3462547659618261,0.34819751517757525,0.34819751517757525,0.3438003025290768,0.3445187270302176,0.3438003025290768,0.3445187270302176,0.3479839935798106,0.3486958779829932,0.348096805565978,0.3501861339681782,0.35033587953076906,0.3490596677413934,0.34714086891416845,0.35070452972508004,0.3487448151999042,0.3494860449459161,0.3502188981136002,0.3502188981136002,0.34875884042887434,0.34675670368680983,0.34875884042887434,0.34675670368680983,0.35105438034767483,0.3484657277059146,0.3543380465666958,0.35062807277834207,0.3493108267712787,0.35046049337893115,0.35311653409060306,0.3528045759193899,0.3505824589832868,0.35358075139683326,0.35150420696951024,0.35150420696951024,0.34926707148156594,0.3454850941847181,0.34926707148156594,0.3454850941847181,0.3505824146899894,0.3492220507447091,0.34954328107911126,0.3482531057523231,0.35000026389245686,0.35090266850869833,0.35117227771030995,0.35027234362289217,0.3507007800847665,0.3523998062166937,0.35086234157592094,0.35086234157592094,0.31398783669944813,0.3124849507339974,0.31398783669944813,0.3124849507339974,0.31740816298043284,0.3160630950608477,0.3167269289404149,0.3185119380724323,0.3158774132164253,0.3180550017293881,0.31607230015746796,0.3156376757880647,0.31573826701139696,0.3156366892948912,0.31776693397931643,0.31776693397931643,0.33639297731846846,0.33049622745855156,0.33639297731846846,0.33049622745855156,0.33491957036051245,0.33176979978846094,0.33689749753845083,0.3325224515727382,0.3365318268434925,0.33763021492914835,0.33606694677789384,0.3363529572645698,0.336643777022557,0.3383408524927993,0.33451565042840914,0.33451565042840914,0.34692938219187697,0.3470325088239155,0.34692938219187697,0.3470325088239155,0.34967713313345045,0.346396547029886,0.34598827051303005,0.3477603175903782,0.345728565088896,0.3460321915897954,0.347008357339734,0.34571454281553465,0.3481734872950751,0.34900744492493835,0.34841584229550776,0.34841584229550776,0.3468251326613647,0.35034217330520667,0.3468251326613647,0.35034217330520667,0.3495517884011356,0.348885334570411,0.34868702865360546,0.349743921262324,0.3493120150520265,0.34903833698016856,0.348132093111589,0.3475428647157463,0.3474137774284891,0.3495885988675941,0.3500122922365878,0.3500122922365878
F1_test,0.679208818947327,0.6837500727434968,0.682857532060638,0.6818555490311216,0.678727876323492,0.6819678519240138,0.6807130013290595,0.6796623478602277,0.682181421276264,0.6744008906076053,0.6742983751846382,0.68349337685505,0.6749767369727047,0.6849627254818649,0.6820867869332032,0.6806278608333497,0.6794856717237053,0.660567732956755,0.662159393566892,0.660567732956755,0.662159393566892,0.665621628224181,0.6675470318150422,0.6663552540720583,0.6651439758544744,0.6685414854229471,0.6666258420085732,0.6677474921471274,0.6665988650001018,0.667018576794234,0.6685427379843707,0.6698221979489046,0.6698221979489046,0.6686027750887383,0.6703885932322523,0.6686027750887383,0.6703885932322523,0.6726944667201283,0.6741788539918485,0.673872649897105,0.6734501374756658,0.6742886891055804,0.6750921957540118,0.676801423346842,0.673756872817755,0.6729376842696403,0.6766451612903225,0.6739478957915832,0.6739478957915832,0.6786586807471038,0.6747658719901377,0.6786586807471038,0.6747658719901377,0.6787133508629722,0.6799121327423214,0.6835938264118463,0.681021296623132,0.6803929642920171,0.6776079760559751,0.6808502255579851,0.6818440523619806,0.6786285940124493,0.6792811713657347,0.6782636260971211,0.6782636260971211,0.6780337456039831,0.6770812812733935,0.6780337456039831,0.6770812812733935,0.6777249306381292,0.6769871159563924,0.6799465660851799,0.6812796439794664,0.6778554040414035,0.6787993755804532,0.6815572405415466,0.6804257324640641,0.679970086983902,0.6798910468972051,0.6800739895312685,0.6800739895312685,0.6663690880509248,0.6660982132475485,0.6663690880509248,0.6660982132475485,0.6764289623157776,0.67601915752159,0.6762603496727712,0.6771511002998246,0.6775771891344694,0.6757063858798577,0.6760558069381598,0.6761587283650677,0.6758560868909338,0.6791151860755484,0.6789310177040835,0.6789310177040835,0.6807931272532024,0.6785331495942428,0.6807931272532024,0.6785331495942428,0.6815970698765762,0.6805211627109605,0.6861618995612632,0.6849978415510802,0.6839659325859747,0.6843892905257964,0.6846533436690553,0.684803569402957,0.6857552166782906,0.6842305352798054,0.6868781327148948,0.6868781327148948,0.6841912402846618,0.6863357010204668,0.6841912402846618,0.6863357010204668,0.6864776549735704,0.6862324940690289,0.6863509536368152,0.6873937704104044,0.6871261477502191,0.6863880448699573,0.6863946099073578,0.6867465283076454,0.688729126250523,0.6860131925613955,0.6865459845056379,0.6865459845056379,0.6850705525010573,0.6861018516734426,0.6850705525010573,0.6861018516734426,0.6853427485481661,0.6848759772222758,0.683568839526274,0.6864437736719666,0.6834995924387688,0.6851344573478915,0.6825001943559046,0.6855968185049278,0.6850875505099095,0.6848838557569668,0.6837016038212108,0.6837016038212108
Recall_test,0.6880418714291422,0.7041431938950817,0.7009868552479124,0.6959127412201845,0.6902393223860323,0.6992288944824004,0.695752926605138,0.6916377002676894,0.6991889408286388,0.6897998321946542,0.6930760318031084,0.7194853969395502,0.6955531583363298,0.7084981421551001,0.6986695433297375,0.6921171441128291,0.6925166806504455,0.6447720644052899,0.6456510447880459,0.6447720644052899,0.6456510447880459,0.6531623316952335,0.656398577649926,0.6554396899596469,0.651564185544768,0.6601142674497583,0.6524032122737624,0.6582364457229614,0.6546805705381757,0.6563186703424028,0.6596747772583803,0.6615126453314155,0.6615126453314155,0.6622717647528866,0.6668664349354748,0.6622717647528866,0.6668664349354748,0.6703024491589756,0.6740980462663311,0.673778417036238,0.6703424028127373,0.6727396220384354,0.6765352191457908,0.6839266450916937,0.6707419393503536,0.670262495505214,0.6809301210595708,0.6718206880019177,0.6718206880019177,0.6881217787366655,0.6779335970274482,0.6881217787366655,0.6779335970274482,0.6858044668184905,0.6925166806504455,0.6981101921770746,0.6937552439170562,0.6931559391106317,0.6829278037476527,0.6904390906548404,0.6940349194933877,0.6860441887410603,0.684885532781973,0.683886691437932,0.683886691437932,0.6855647448959208,0.6866035398937232,0.6855647448959208,0.6866035398937232,0.6831675256702225,0.6822885452874665,0.6914379319988813,0.6972711654480802,0.6842063206680251,0.6862439570098685,0.6949138998761437,0.6921970514203524,0.6902393223860323,0.6881217787366655,0.6903991370010788,0.6903991370010788,0.6859243277797754,0.6866434935474849,0.6859243277797754,0.6866434935474849,0.716089336369811,0.7162091973310959,0.7162891046386192,0.7173678532901834,0.7220424307802948,0.7127731831075952,0.7163290582923808,0.7172080386751368,0.7160094290622877,0.7279955251907787,0.7247193255823245,0.7247193255823245,0.7092173079228096,0.7082184665787686,0.7092173079228096,0.7082184665787686,0.7137720244516361,0.7136921171441128,0.7279555715370171,0.7290742738423429,0.7203244236685444,0.7205241919373526,0.7234008550081905,0.7236006232769987,0.7267569619241679,0.7190858604019338,0.7336689440249311,0.7336689440249311,0.7086979104239083,0.7161292900235726,0.7086979104239083,0.7161292900235726,0.713452395221543,0.716528826561189,0.7174477605977067,0.7190459067481721,0.7205641455911143,0.7175276679052299,0.7163690119461424,0.7192057213632187,0.7234008550081905,0.7126133684925486,0.7152103559870551,0.7152103559870551,0.7118942027248392,0.7113348515721762,0.7118942027248392,0.7113348515721762,0.7096168444604259,0.7087778177314316,0.7045027767789365,0.7132526269527348,0.7035438890886572,0.709496983499141,0.7015062527468137,0.7128930440688801,0.711254944264653,0.7079787446561988,0.7034240281273723,0.7034240281273723
Prec_test,0.6705996884735203,0.6645049392956791,0.6656423097351848,0.668355013238172,0.667594095370585,0.6655384849406754,0.6663095465850393,0.6680946316236348,0.6659816569623626,0.6596744612563045,0.6565113726677516,0.6509307789625881,0.6555827527772548,0.6629406706792778,0.666272955878991,0.6695137976346912,0.666936011389434,0.6771567640147701,0.6795340818300324,0.6771567640147701,0.6795340818300324,0.6785654989208035,0.6790807258297855,0.677640546904044,0.6793018702878327,0.6771866546438232,0.6814824089144861,0.6775374239184077,0.6789591447750062,0.6780731445554363,0.6776523702031603,0.6783431661750245,0.6783431661750245,0.6750559967420078,0.6739481547282565,0.6750559967420078,0.6739481547282565,0.6751036175606615,0.6742596810933941,0.6739669091199745,0.6765868215178643,0.6758449064782853,0.6736553150859326,0.6698231335107215,0.6767990324531344,0.6756343133306484,0.6724137931034483,0.6760886172650878,0.6760886172650878,0.6694523263497493,0.6716276124129196,0.6694523263497493,0.6716276124129196,0.6717673763306199,0.6677582155102669,0.6696688640196229,0.6687463893703062,0.6680914972273567,0.6723703878530407,0.6715240537809901,0.6700740626446536,0.6713715983734752,0.6737677855514503,0.6727322747995598,0.6727322747995598,0.6706664060973226,0.6678195313410795,0.6706664060973226,0.6678195313410795,0.6723683693130431,0.6717674363715038,0.6688309178743961,0.6660051900473211,0.6716213036316574,0.6715145828446321,0.6687043444828912,0.6690480787796872,0.6700019391118868,0.6718548858981861,0.670053123424716,0.670053123424716,0.6478979545626085,0.646746697775938,0.6478979545626085,0.646746697775938,0.6409311972536118,0.6400999821460454,0.6404687053443842,0.6412041997000214,0.6382708200890019,0.6423042304230423,0.6400699725107993,0.6395539404303834,0.6399671463771739,0.636385861972618,0.6385847562048935,0.6385847562048935,0.6545595339061174,0.6512362687828355,0.6545595339061174,0.6512362687828355,0.6521977219626168,0.6502966980960355,0.6489066172804331,0.6459469026548672,0.6511014806789455,0.6517056952876554,0.6498456679348216,0.6499551408577068,0.6491328242095497,0.6525979912252076,0.6456978093463202,0.6456978093463202,0.6613227947207516,0.6589221380780825,0.6613227947207516,0.6589221380780825,0.661468365683805,0.6583942141782003,0.6578378576400337,0.658410770469013,0.65665392317495,0.6578388278388279,0.6588278522873415,0.6570907099835737,0.6572289375294929,0.6613274008157212,0.6600907113094141,0.6600907113094141,0.6601948942161622,0.6625976925939709,0.6601948942161622,0.6625976925939709,0.6626744272815461,0.6625336121900209,0.6638430841051126,0.6615772309516751,0.6645657999018757,0.6623894960647544,0.6644968398743519,0.6603138183702169,0.6607772539994804,0.6632481191750571,0.6650549616590489,0.6650549616590489
MCC_test_multiarts,0.34610673318965124,0.3462234129700574,0.3470729286082343,0.34829070230047293,0.3436310655417386,0.3456267750698921,0.3446061874295209,0.3451779173915083,0.34527650782432245,0.3312708980508631,0.3278527408051919,0.3320126857864626,0.32684054812823593,0.3473730148995372,0.34703327106206555,0.34807570889487993,0.3441675147251518,0.3344418258682957,0.3388882896185965,0.3344418258682957,0.3388882896185965,0.3415218840430525,0.3429324460006897,0.3410286636102416,0.3406589946115196,0.3423075091457642,0.34417992444555967,0.3414599621578554,0.34228522158727376,0.34228710725298234,0.3428272569528663,0.34498874189367096,0.34498874189367096,0.3405999567261949,0.3405518488842983,0.3405999567261949,0.3405518488842983,0.3447977613714522,0.34550180743257375,0.34510307459831296,0.34831508708520975,0.34794071739614413,0.3453440569551757,0.3441860013746614,0.3481148242211956,0.3459865106804364,0.3466448746283918,0.3473488980345769,0.3473488980345769,0.34715185459054154,0.34449614190888606,0.34715185459054154,0.34449614190888606,0.348978654098041,0.3463536202437033,0.35188264138546066,0.34787861269133785,0.34682944838745344,0.3474650691024898,0.35077138639011013,0.3507101596164389,0.3486722853852517,0.3508133861197347,0.34881119296268964,0.34881119296268964,0.34653789723542616,0.3430552502083213,0.34653789723542616,0.3430552502083213,0.3475441602073719,0.34689778514858916,0.34639177317470077,0.34533235499617976,0.347672038043869,0.34745267351236886,0.3479877400278423,0.34760543340737626,0.3472468330817671,0.3493260132070249,0.3477340576650425,0.3477340576650425,0.30964969938062814,0.3074012616232238,0.30964969938062814,0.3074012616232238,0.3124489463547939,0.3110021000744569,0.3117259768499141,0.31322360226461415,0.3112373143557373,0.31386787316152226,0.3110365855476584,0.31068289349514416,0.3112784037428295,0.31057434561620234,0.3129942252823076,0.3129942252823076,0.3327493641066548,0.3268388725977508,0.3327493641066548,0.3268388725977508,0.33266314855598256,0.32949808514734197,0.3329830231472734,0.32861410761343474,0.3324832549124684,0.334430345230049,0.33198360111446346,0.33334340722560807,0.33297842825328056,0.3353751202720567,0.33087311617604975,0.33087311617604975,0.34433103608215,0.344128132906212,0.34433103608215,0.344128132906212,0.3472775691553696,0.34342451063752444,0.3435961295406162,0.34489193087466635,0.34355484507766354,0.3436858791724365,0.3444176535029404,0.34350767299697116,0.34559602447808424,0.3467486659888477,0.3467618576501785,0.3467618576501785,0.3441254794164937,0.34732267996180055,0.3441254794164937,0.34732267996180055,0.3475591502478522,0.34638365905092183,0.3467554487760551,0.3474544164510323,0.34683857267951607,0.34584980414798183,0.345343411057484,0.3451392511606379,0.3448132988261,0.34702560236525504,0.3471683483591974,0.3471683483591974
Recall_test_multiarts,0.7113389015439129,0.7255547118872859,0.7230237070783768,0.7181726145279677,0.7119716527461403,0.7220956719817767,0.7181726145279677,0.7153041424112039,0.7218847549143677,0.7093984645237492,0.7161056272673585,0.7425968109339408,0.717371129671813,0.7296465029950223,0.7209567198177677,0.7138277229393403,0.7140386400067493,0.6672572344554122,0.668227452965494,0.6672572344554122,0.668227452965494,0.6761157512865941,0.679406057538176,0.6783092887876487,0.6745971484012486,0.6830338310976124,0.6752720830169577,0.6820214291740487,0.6779296380663123,0.6800388087404032,0.6821057960010124,0.6846789842234033,0.6846789842234033,0.6852695520121488,0.6902050113895216,0.6852695520121488,0.6902050113895216,0.6928625664388762,0.6972074580275036,0.6974605585083945,0.6928625664388762,0.6958154053826036,0.6988947945667764,0.7074580275035856,0.6938749683624399,0.6927781996119126,0.7039146207711128,0.6947186366320762,0.6947186366320762,0.7116341854382857,0.7001181135577491,0.7116341854382857,0.7001181135577491,0.7085547962541129,0.7156837931325403,0.7209145364042858,0.7162743609212857,0.715515059478613,0.7053066734160128,0.7139542731797857,0.7173289462583312,0.7097359318316038,0.7076267611575129,0.7065721758204674,0.7065721758204674,0.7091453640428583,0.7095250147641947,0.7091453640428583,0.7095250147641947,0.7069940099552856,0.705264490002531,0.7151354087572767,0.7202396017885767,0.7080064118788493,0.7096093815911584,0.7182147979414494,0.7148823082763858,0.7133215219775584,0.7107905171686493,0.7146713912089766,0.7146713912089766,0.7058128743777946,0.7064034421665402,0.7058128743777946,0.7064034421665402,0.7354256306420316,0.7364380325655953,0.735552180882477,0.7377879017970134,0.740445456846368,0.7338226609297225,0.7347085126128406,0.7376191681430861,0.7352147135746224,0.7477853707922045,0.7444528811271408,0.7444528811271408,0.730194887370286,0.7275795157344133,0.730194887370286,0.7275795157344133,0.7333586433814224,0.733696110689277,0.748586855648359,0.7484181219944318,0.7402767231924408,0.7414156753564498,0.7442841474732136,0.7433982957900953,0.7478697376191682,0.7390112207879862,0.753733232093141,0.753733232093141,0.7288450181388678,0.7371973340082679,0.7288450181388678,0.7371973340082679,0.7343710453049861,0.7387159368936135,0.7387159368936135,0.7398127056441407,0.7422171602126044,0.738800303720577,0.7379144520374589,0.740445456846368,0.7451278157428499,0.7340335779971315,0.7365223993925588,0.7365223993925588,0.7340335779971315,0.7332742765544588,0.7340335779971315,0.7332742765544588,0.7314182063612588,0.7310385556399224,0.7261030962625495,0.7344975955454315,0.7259765460221042,0.7317978570825951,0.7230237070783768,0.7346663291993588,0.7328946258331224,0.7295621361680588,0.7253437948198769,0.7253437948198769
Prec_test_multiarts,0.6727707959305805,0.6681947088302708,0.66953125,0.6718626677190213,0.6710400763358778,0.6689593184571495,0.6696165191740413,0.6709000989119683,0.6688161957243913,0.6643359405862369,0.6602107883171936,0.6545211183819155,0.6592239407683064,0.667554320558836,0.6701827307662144,0.6731641339804281,0.6706949837546556,0.6799054373522458,0.6825075398535114,0.6799054373522458,0.6825075398535114,0.6815784997448545,0.6813893472098828,0.6805197003681916,0.681525676539527,0.6797649034424853,0.6836059273177606,0.67955615332885,0.6814654624093627,0.680756724800473,0.6804123711340206,0.6809447893941937,0.6809447893941937,0.677920126862246,0.6762554246745195,0.677920126862246,0.6762554246745195,0.6780745572389877,0.6770718118880832,0.6767354289456451,0.6803214182164603,0.6790860436393578,0.676410549522332,0.6728585757271816,0.6798512089274643,0.6788607804232805,0.6755596939395166,0.6790780141843972,0.6790780141843972,0.6733186988625025,0.6754710837979733,0.6733186988625025,0.6754710837979733,0.6754735191217276,0.6714952901131956,0.6731526705530172,0.6722356387822163,0.6718421990731572,0.675610150315177,0.6747866996252293,0.6736254159404215,0.6748896911351785,0.6769299059763528,0.676030189288453,0.676030189288453,0.6737605707186085,0.6714838915725179,0.6737605707186085,0.6714838915725179,0.6750986868605494,0.6752695989337211,0.6716985617496731,0.6693848747402674,0.674842185678099,0.674174414876563,0.6716635764724447,0.672526687566967,0.672820594437592,0.6749449228920489,0.6726752957992536,0.6726752957992536,0.6525486525486526,0.6510633334629291,0.6525486525486526,0.6510633334629291,0.6456319668185017,0.6445396145610278,0.6451935173536595,0.6453874538745388,0.643532776066872,0.6468838316227874,0.6450501833265435,0.6440278442782955,0.645040710584752,0.6410979711402842,0.6433597025263388,0.6433597025263388,0.6587509989724855,0.6561168594035302,0.6587509989724855,0.6561168594035302,0.6577254842615012,0.6557951888997813,0.6532430243686962,0.6508437270726339,0.6554982817869416,0.6562616682846688,0.6539901404796323,0.6550327088908713,0.6534591426781173,0.6575460721390234,0.6505024027959808,0.6505024027959808,0.6659985352503566,0.6632006375469621,0.6659985352503566,0.6632006375469621,0.6659653418002371,0.6623047539805605,0.6624049627416121,0.66281179138322,0.6612672880336741,0.6624305003971406,0.663141134993745,0.6618029634656714,0.661523481387162,0.665761181466886,0.6649655330007236,0.6649655330007236,0.6642110084739293,0.6663472227546288,0.6642110084739293,0.6663472227546288,0.6670898738073253,0.6665128264297527,0.6683362453892449,0.6660291473817083,0.6684273895987882,0.6659500959692898,0.6684867394695788,0.6646059912230491,0.6649825850652582,0.6673741076596565,0.6688319265626823,0.6688319265626823
